Nome_da_Concessionaria,Nome_da_Filial,Marca_da_Filial,Custo_do_Veiculo,Marca_do_Veiculo,Modelo_do_Veiculo,Cor_do_Veiculo,Veiculo_Novo_ou_Semi_Novo,Tipo_do_Combustivel,Ano_Modelo_do_Veiculo,Ano_Fabricacao_do_Veiculo,Tempo_Total_no_Estoque,Kilometragem_Atual_do_Veiculo,Data_de_Entrada_do_Veiculo_no_Estoque,Idade_Veiculo
CCM,CCM AUTOS 1,MITSUBISHI,178139.58,MITSUBISHI,ECLIPSE CROSS HPE-S 1.5T S-AWC CVT SPORT,BRANCO,NOVO,GASOLINA,2025,2024,6 A 9 MESES,0.0,2024-04-05,2
CCM,CCM AUTOS 1,MITSUBISHI,175710.28,MITSUBISHI,ECLIPSE CROSS HPE-S 1.5T S-AWC CVT,CINZA,NOVO,GASOLINA,2025,2024,3 A 6 MESES,0.0,2024-05-16,2
CCM,CCM AUTOS 1,MITSUBISHI,241277.97,MITSUBISHI,L200 TRITON SPORT HPE 2.4 D 4X4 AT,BRANCO,NOVO,DIESEL,2025,2024,3 A 6 MESES,0.0,2024-07-04,2
CCM,CCM AUTOS 1,MITSUBISHI,235037.8,MITSUBISHI,L200 TRITON SPORT OUTDOOR PLUS 2.4 D 4X4 AT,BRANCO,NOVO,DIESEL,2025,2024,1 A 3 MESES,0.0,2024-09-16,2
CCM,CCM AUTOS 1,MITSUBISHI,235037.8,MITSUBISHI,L200 TRITON SPORT OUTDOOR PLUS 2.4 D 4X4 AT,PRATA,NOVO,DIESEL,2025,2024,1 A 3 MESES,0.0,2024-09-19,2
CCM,CCM AUTOS 1,MITSUBISHI,248766.17,MITSUBISHI,L200 TRITON SPORT HPE 2.4 D 4X4 AT,PRATA,NOVO,DIESEL,2025,2024,1 A 3 MESES,0.0,2024-09-19,2
CCM,CCM AUTOS 1,MITSUBISHI,226717.6,MITSUBISHI,L200 TRITON SPORT OUTDOOR GLS 2.4 D 4X4 AT,BRANCO,NOVO,DIESEL,2025,2024,1 A 3 MESES,0.0,2024-09-21,2
CCM,CCM AUTOS 1,MITSUBISHI,276887.4,MITSUBISHI,PAJERO SPORT HPE-S 2.4 DI-D 4X4 AT,PRETO,NOVO,DIESEL,2025,2024,MENOS DE 1 MES,0.0,2024-10-03,2
CCM,CCM AUTOS 1,MITSUBISHI,149061.95,MITSUBISHI,ECLIPSE CROSS HPE 1.5T CVT,BRANCO,NOVO,GASOLINA,2025,2024,MENOS DE 1 MES,0.0,2024-10-03,2
CCM,CCM AUTOS 1,MITSUBISHI,138643.08,MITSUBISHI,ECLIPSE CROSS RUSH 1.5T CVT,BRANCO,NOVO,GASOLINA,2025,2024,MENOS DE 1 MES,0.0,2024-10-03,2
